"time","power"
2024-01-11 09:19:47,369
2024-01-11 09:19:52,371
2024-01-11 09:19:57,370
2024-01-11 09:20:08,368
2024-01-11 09:20:14,367
2024-01-11 09:20:19,368
2024-01-11 09:20:24,365
2024-01-11 09:21:40,0
2024-01-11 09:21:45,13
2024-01-11 09:21:50,11
2024-01-11 09:21:59,10
2024-01-11 09:22:04,11
2024-01-11 09:22:10,10
2024-01-11 09:22:15,11
2024-01-11 09:22:20,10
2024-01-11 09:22:25,11
2024-01-11 09:22:36,12
2024-01-11 09:22:41,10
2024-01-11 09:22:52,11
2024-01-11 09:22:57,10
2024-01-11 09:23:02,11
2024-01-11 09:23:13,12
2024-01-11 09:23:29,10
2024-01-11 09:23:34,11
2024-01-11 09:23:39,10
2024-01-11 09:23:55,12
2024-01-11 09:24:01,11
2024-01-11 09:24:11,12
2024-01-11 09:24:27,10
2024-01-11 09:24:32,11
2024-01-11 09:24:48,10
2024-01-11 09:24:53,12
2024-01-11 09:25:04,10
2024-01-11 09:25:09,11
2024-01-11 09:25:15,12
2024-01-11 09:25:20,11
2024-01-11 09:25:25,12
2024-01-11 09:25:52,11
2024-01-11 09:25:57,12
2024-01-11 09:26:02,11
2024-01-11 09:26:18,12
2024-01-11 09:26:23,11
2024-01-11 09:26:34,12
2024-01-11 09:26:44,11
2024-01-11 09:26:55,12
2024-01-11 09:27:11,10
2024-01-11 09:27:16,11
2024-01-11 09:27:43,12
2024-01-11 09:27:53,11
2024-01-11 09:28:14,10
2024-01-11 09:28:25,11
2024-01-11 09:28:30,12
2024-01-11 09:28:51,10
2024-01-11 09:29:02,11
2024-01-11 09:29:12,12
2024-01-11 09:29:23,10
2024-01-11 09:29:29,12
2024-01-11 09:29:44,10
2024-01-11 09:29:49,12
2024-01-11 09:30:00,11
2024-01-11 09:30:16,12
2024-01-11 09:30:21,11
2024-01-11 09:30:26,12
2024-01-11 09:30:37,11
2024-01-11 09:30:43,12
2024-01-11 09:30:53,11
2024-01-11 09:30:58,12
2024-01-11 09:31:03,11
2024-01-11 09:31:14,12
2024-01-11 09:31:20,11
2024-01-11 09:31:35,11
2024-01-11 09:31:40,11
2024-01-11 09:31:51,12
2024-01-11 09:31:57,10
2024-01-11 09:32:02,11
2024-01-11 09:32:12,12
2024-01-11 09:32:28,11
2024-01-11 09:32:34,12
2024-01-11 09:32:39,10
2024-01-11 09:32:44,11
2024-01-11 09:32:49,12
2024-01-11 09:32:54,11
2024-01-11 09:33:21,12
2024-01-11 09:33:42,10
2024-01-11 09:33:48,11
2024-01-11 09:33:53,12
2024-01-11 09:33:58,10
2024-01-11 09:34:03,11
2024-01-11 09:34:40,12
2024-01-11 09:34:45,11
2024-01-11 09:35:02,12
2024-01-11 09:35:17,11
2024-01-11 09:35:44,10
2024-01-11 09:35:49,12
2024-01-11 09:35:54,11
2024-01-11 09:35:59,12
2024-01-11 09:36:10,11
2024-01-11 09:36:16,12
2024-01-11 09:36:21,11
2024-01-11 09:36:26,12
2024-01-11 09:36:31,11
2024-01-11 09:36:53,12
2024-01-11 09:36:58,10
2024-01-11 09:37:03,12
2024-01-11 09:37:08,11
2024-01-11 09:37:13,12
2024-01-11 09:37:24,11
2024-01-11 09:37:30,12
2024-01-11 09:37:40,11
2024-01-11 09:37:45,10
2024-01-11 09:38:01,11
2024-01-11 09:38:07,12
2024-01-11 09:38:17,11
2024-01-11 09:38:22,12
2024-01-11 09:38:28,10
2024-01-11 09:38:38,12
2024-01-11 09:38:44,11
2024-01-11 09:38:59,12
2024-01-11 09:39:21,11
2024-01-11 09:39:31,10
2024-01-11 09:39:36,11
2024-01-11 09:40:03,12
2024-01-11 09:40:08,11
2024-01-11 09:40:13,13
2024-01-11 09:40:19,12
2024-01-11 09:40:35,11
2024-01-11 09:40:40,12
2024-01-11 09:40:45,11
2024-01-11 09:41:12,12
2024-01-11 09:41:27,11
2024-01-11 09:41:33,11
2024-01-11 09:41:43,12
2024-01-11 09:41:49,11
2024-01-11 09:41:54,12
2024-01-11 09:41:59,11
2024-01-11 09:42:36,12
2024-01-11 09:42:41,11
2024-01-11 09:43:08,12
2024-01-11 09:43:34,11
2024-01-11 09:43:40,12
2024-01-11 09:43:45,11
2024-01-11 09:44:01,12
2024-01-11 09:44:11,11
2024-01-11 09:44:17,12
2024-01-11 09:44:32,11
2024-01-11 09:45:15,12
2024-01-11 09:45:46,11
2024-01-11 09:45:52,12
2024-01-11 09:46:08,11
2024-01-11 09:46:13,12
2024-01-11 09:46:18,11
2024-01-11 09:46:23,12
